platform,backend,variant,device,mode,dataset,n_images,mean_latency_ms,std_latency_ms,fps,mean_f1,mean_iou,avg_predictions,load_time_s
Arc_B60,pytorch,pytorch,cuda,canvas,Potatoes,9,891.6097941109911,271.69793863894535,1.1215668632230347,0.9925925925925926,0.9824210599298939,7.888888888888889,8.094493377953768
Arc_B60,pytorch,pytorch,cuda,text,Candies,12,724.7077343296647,63.381082494876416,1.379866603638463,0.9953703703703703,0.9443413952331859,20.416666666666668,4.698553268972319
Arc_B60,pytorch,pytorch,cuda,text,LED,15,461.4463334010604,0.677672731177047,2.1670992434365326,0.0,0.0,0.0,4.67398174398113
Arc_B60,pytorch,pytorch,cuda,text,Nuts,21,592.0798128603825,29.254749862830028,1.6889614850554084,0.9729952587095445,0.9713426706983542,3.5238095238095237,4.65760917699663
Arc_B60,pytorch,pytorch,cuda,text,Potatoes,10,748.4987984993495,112.29193432976444,1.33600748859568,1.0,0.9847727678089957,8.0,41.56980142300017
Arc_B60,pytorch,pytorch,cuda,visual_exemplar,Candies,11,710.8627019968645,64.25844926622841,1.4067414103889935,0.9873737373737373,0.9451694841305849,20.181818181818183,4.848248892987613
Arc_B60,pytorch,pytorch,cuda,visual_exemplar,LED,14,505.7488963606634,7.064742448061663,1.9772658075893705,0.9777777777777779,0.8502205000405,4.214285714285714,4.399295528011862
Arc_B60,pytorch,pytorch,cuda,visual_exemplar,Nuts,20,498.2504201005213,15.525781525766842,2.007022893825662,0.9761904761904763,0.9714277890517989,3.55,4.46321308799088
Arc_B60,pytorch,pytorch,cuda,visual_exemplar,Potatoes,9,747.4973278909197,112.94751093035134,1.337797424402201,1.0,0.9857960307518331,8.0,4.709512134024408
Arc_B60,pytorch,pytorch,xpu,canvas,Candies,11,1963.897885183211,136.64198550339069,0.5091914439872777,0.9906120023767083,0.9395017313750814,19.818181818181817,4.982785122003406
Arc_B60,pytorch,pytorch,xpu,canvas,LED,14,1985.646887699009,16.926296983811937,0.5036142156971383,0.7604617604617605,0.7934981483909711,5.642857142857143,4.739610950928181
Arc_B60,pytorch,pytorch,xpu,canvas,Nuts,20,1911.372081306763,27.311726544058853,0.5231843709448356,0.9067460317460319,0.9197378464580543,3.2,4.766293993103318
Arc_B60,pytorch,pytorch,xpu,canvas,Potatoes,9,1876.5682760212158,190.25523267687345,0.5328876187336199,0.9925925925925926,0.982421966764349,7.888888888888889,7.430321385036223
Arc_B60,pytorch,pytorch,xpu,text,Candies,12,1772.0452925908223,110.50670540851358,0.5643196616819811,0.9953703703703703,0.9443463759302375,20.416666666666668,5.043697924003936
